1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
1;Juan      ;Albacete  ;11000.5;0.1;
2;Pepe;Bilbao;12000.5;0.2;
3;Luis;Jerez;13000.5;0.3;
